country,disease,case_number,incidence,pop2021,health_index,SMI,SPI,precipitation,av.temp,year,log_incidence
Ghana,CPA,"12,620",39.77,3.17E+07,0.34,45.5,65.67,1187,26.34227908,2019,-3.400267101
Ghana,IA,"1,254",3.95,3.17E+07,0.34,45.5,65.67,1187,26.34227908,2019,-4.403184512
Eritrea,CPA,"1,399",38.85,3.60E+06,0.01,N/A,N/A,384,15.6,2022,-3.41049299
Eritrea,IA,540,14.99,3.60E+06,0.01,N/A,N/A,384,15.6,2022,-3.824020557
Togo,CPA,191,2.25,8.48E+06,0.22,35.2,53.51,1168,28.1,2021,-4.647263067
Togo,IA,283,3.34,8.48E+06,0.22,35.2,53.51,1168,28.1,2021,-4.476505286
Morocco,CPA,"19,290",51.65,3.73E+07,0.63,43.7,65.24,346,17.48538638,2022,-3.286673465
Morocco,IA,"1,492",4,3.73E+07,0.63,43.7,65.24,346,17.48538638,2022,-4.398443905
Cameroon,CPA,"5,000",18.37,2.72E+07,0.01,36,52.07,1604,26.7,2018,-3.735906389
China,aspergillosis,"4,578,165",317,1.44E+09,0.58,61.5,65.44,645,17.37512607,2020,-2.497561838
Sierra Leone,CPA,"6,000",73.7,8.14E+06,0,34.7,53.01,2526,26,2021,-3.132224618
Sierra Leone,IA,478,5.87,8.14E+06,0,34.7,53.01,2526,26,2021,-4.231242656
Congo,CPA,"54,700",59.21,9.24E+07,0.22,N/A,N/A,1543,25.5,2021,-3.22732396
Congo,IA ,380,0.41,9.24E+07,0.22,N/A,N/A,1543,25.5,2021,-5.385783139
Mozambique,CPA,"18,475",57.44,3.22E+07,0.07,N/A,N/A,1032,22.8,2018,-3.240523201
Ethiopia,CPA,"15,200",12.89,1.18E+08,0.27,N/A,N/A,848,16,2019,-3.889526633
Ethiopia,IA,"11,500",9.76,1.18E+08,0.27,N/A,N/A,848,16,2019,-4.010686014
Honduras,aspergillosis,"12,673",125.94,1.01E+07,0.62,43.5,60.19,1976,21.7,2022,-2.899300369
